soil_moisture,temperature,humidity,ph,rainfall_mm,ET0,ETc,vpd_proxy,depletion,crop_type_enc,growth_stage_enc,irrigation_label
27.05,25.9,73.39,5.37,38.93,0.5,0.6,6.892,64.02,5,0,3
49.91,27.07,85.0,6.68,81.89,0.5,0.489,4.059,29.38,0,2,1
69.36,34.92,70.42,6.48,34.15,0.5,0.6,10.328,23.0,5,0,1
56.17,19.62,71.29,6.64,40.66,0.5,0.48,5.634,34.13,5,1,1
45.23,27.5,66.66,6.44,47.63,0.5,0.575,9.169,43.45,8,0,2
95.0,27.24,70.96,6.51,4.22,0.5,0.489,7.91,5.09,0,2,0
25.59,32.74,37.99,7.0,13.63,0.5,0.48,20.303,71.96,5,1,3
64.11,21.01,59.28,6.41,33.62,0.5,0.42,8.554,27.93,4,1,1
62.01,31.36,52.31,5.99,95.56,0.5,0.575,14.953,13.83,2,0,1
56.62,22.7,49.51,6.36,22.42,0.5,0.575,11.459,38.81,2,0,1
45.88,26.63,64.23,5.36,46.4,0.5,0.575,9.527,43.13,0,0,2
68.76,32.45,55.67,6.55,80.22,0.5,0.489,14.385,10.97,2,2,0
37.33,27.1,71.97,6.31,0.64,0.5,0.661,7.596,64.15,0,3,2
40.73,31.28,55.96,5.68,13.67,0.5,0.517,13.777,56.9,1,3,2
68.77,29.15,46.41,7.98,56.04,0.5,0.69,15.62,17.94,5,3,1
65.17,26.7,52.03,7.19,23.54,0.5,0.383,12.809,29.48,1,2,1
48.0,38.85,72.68,5.86,78.21,0.5,0.719,10.616,32.85,6,3,2
43.98,34.38,64.67,5.79,68.79,0.5,0.6,12.147,39.09,5,0,2
17.94,34.37,51.43,6.37,40.18,0.5,0.69,16.691,73.03,5,3,4
70.36,21.43,57.06,5.69,22.05,0.5,0.45,9.203,24.86,1,0,1
45.83,19.33,56.03,7.0,20.72,0.5,0.661,8.5,50.27,2,3,2
18.88,35.03,48.27,5.96,15.41,0.5,0.69,18.118,78.71,3,3,4
75.95,25.18,34.3,7.58,105.11,0.5,0.69,16.546,0.0,5,3,0
52.24,37.05,44.93,5.09,6.89,0.5,0.6,20.405,47.42,3,0,1
72.59,27.98,83.97,7.19,14.8,0.5,0.517,4.486,24.74,1,3,1
41.05,21.39,59.39,6.8,77.27,0.5,0.42,8.688,39.3,7,1,2
32.46,34.45,63.38,6.99,17.2,0.5,0.719,12.615,64.73,6,3,3
42.79,24.43,46.32,5.31,9.6,0.5,0.661,13.114,56.29,8,3,2
51.92,16.61,57.02,6.41,14.74,0.5,0.719,7.137,45.93,6,3,1
61.12,30.62,42.14,7.04,9.61,0.5,0.48,17.716,37.5,3,1,1
61.04,36.64,34.86,8.41,38.74,0.5,0.383,23.869,29.53,1,2,1
95.0,30.98,56.9,5.03,39.74,0.5,0.661,13.35,0.0,2,3,0
46.59,27.02,36.55,5.63,60.18,0.5,0.575,17.143,38.73,2,0,2
41.79,23.82,33.7,6.96,31.52,0.5,0.604,15.79,51.28,4,3,2
62.72,34.17,58.26,6.22,34.39,0.5,0.48,14.26,29.27,5,1,1
82.8,32.88,75.18,6.23,86.17,0.5,0.517,8.159,0.0,1,3,0
83.87,25.43,70.18,6.6,60.67,0.5,0.604,7.584,1.39,7,3,0
38.84,21.33,74.89,6.46,38.46,0.5,0.6,5.356,52.36,5,0,2
26.59,40.39,71.02,5.92,14.7,0.5,0.46,11.706,70.62,0,1,3
56.95,25.62,54.21,6.46,1.86,0.5,0.531,11.731,43.88,6,2,1
66.34,36.19,88.08,6.89,4.66,0.5,0.48,4.315,33.61,5,1,1
40.1,24.94,40.63,5.36,41.03,0.5,0.36,14.807,49.81,1,1,2
40.93,37.53,45.39,5.7,19.77,0.5,0.661,20.491,55.43,2,3,2
71.7,30.43,73.81,6.1,19.17,0.5,0.42,7.972,24.21,4,1,1
70.21,33.17,69.94,6.47,6.8,0.5,0.69,9.969,29.7,3,3,1
47.89,31.16,64.07,5.65,170.65,0.5,0.489,11.196,7.62,2,2,1
40.41,32.86,63.91,7.52,10.72,0.5,0.383,11.862,57.68,1,2,2
68.72,37.0,58.86,5.53,45.5,0.5,0.46,15.224,20.24,0,1,1
23.95,27.42,71.18,6.31,10.9,0.5,0.604,7.903,74.64,4,3,3
31.45,26.64,52.79,5.67,12.0,0.5,0.661,12.58,66.99,8,3,3
33.13,30.76,63.83,6.53,5.97,0.5,0.48,11.124,66.47,5,1,3
70.14,35.12,45.17,6.11,26.08,0.5,0.575,19.257,24.31,8,0,1
41.51,29.8,63.25,7.91,14.62,0.5,0.575,10.951,56.01,8,0,2
42.28,14.69,80.55,5.63,32.56,0.5,0.42,2.858,50.05,7,1,2
37.53,24.67,65.24,8.05,16.42,0.5,0.489,8.573,59.29,0,2,2
17.85,20.13,70.0,5.41,48.57,0.5,0.531,6.037,70.47,6,2,4
17.35,29.48,65.44,6.2,85.05,0.5,0.446,10.189,60.99,4,2,3
42.26,25.14,44.53,6.98,34.07,0.5,0.604,13.944,50.13,7,3,2
8.22,20.11,55.43,6.77,9.63,0.5,0.489,8.964,90.42,8,2,4
66.78,25.12,36.44,7.55,64.38,0.5,0.6,15.968,17.47,5,0,1
13.58,27.16,40.03,6.36,9.4,0.5,0.36,16.286,84.81,1,1,4
30.75,15.25,53.06,5.52,16.24,0.5,0.525,7.161,66.21,4,0,3
64.43,29.64,77.39,6.25,0.89,0.5,0.525,6.702,36.64,7,0,1
52.05,24.79,69.56,6.45,1.88,0.5,0.446,7.547,48.57,4,2,1
47.68,22.07,62.44,4.87,63.53,0.5,0.48,8.289,36.5,3,1,2
47.67,36.79,67.5,8.19,1.82,0.5,0.446,11.957,52.96,7,2,2
58.94,36.94,83.53,6.12,101.29,0.5,0.719,6.084,15.73,6,3,1
41.71,27.81,35.92,5.93,3.2,0.5,0.525,17.821,58.75,7,0,2
54.26,33.69,70.53,4.73,4.94,0.5,0.525,9.929,45.73,4,0,1
54.39,34.57,67.19,5.81,21.61,0.5,0.46,11.343,40.97,2,1,1
36.82,32.85,55.99,5.97,10.36,0.5,0.446,14.457,61.52,7,2,2
68.74,32.42,78.31,6.31,5.66,0.5,0.48,7.033,30.94,3,1,1
73.58,30.71,74.37,5.37,3.43,0.5,0.661,7.872,27.16,8,3,1
52.48,28.28,79.21,7.73,24.19,0.5,0.51,5.881,42.32,5,2,1
83.41,27.29,39.37,6.46,3.73,0.5,0.46,16.547,16.74,8,1,1
73.23,22.46,70.05,6.95,0.95,0.5,0.383,6.728,27.47,1,2,1
52.8,28.52,82.85,5.41,16.87,0.5,0.48,4.891,43.88,3,1,1
72.31,27.11,56.79,7.15,1.21,0.5,0.42,11.716,28.42,4,1,1
59.75,31.32,72.73,6.2,14.77,0.5,0.36,8.541,37.19,1,1,1
75.36,29.24,47.72,5.69,6.05,0.5,0.446,15.285,24.14,4,2,1
65.49,34.73,60.56,6.1,1.15,0.5,0.661,13.696,35.85,8,3,1
65.7,18.82,60.34,6.69,31.23,0.5,0.517,7.465,27.23,1,3,1
29.62,31.97,61.67,5.69,6.65,0.5,0.525,12.252,69.91,4,0,3
86.33,45.0,35.5,7.29,62.03,0.5,0.46,29.026,0.0,0,1,0
88.88,30.19,56.34,6.01,59.09,0.5,0.719,13.181,0.0,6,3,0
43.86,28.61,79.37,6.11,48.74,0.5,0.48,5.902,44.28,3,1,2
53.8,15.28,69.94,8.2,19.22,0.5,0.69,4.595,42.78,5,3,1
56.46,27.03,52.05,5.11,12.94,0.5,0.51,12.959,41.35,3,2,1
95.0,20.02,30.15,6.77,2.34,0.5,0.383,13.983,5.33,1,2,0
10.62,37.68,75.44,6.73,0.36,0.5,0.46,9.256,90.44,0,1,4
66.72,16.33,71.8,6.8,42.95,0.5,0.604,4.606,23.29,4,3,1
72.5,21.61,82.39,6.45,7.83,0.5,0.42,3.806,26.46,4,1,1
64.89,27.72,39.6,6.26,23.05,0.5,0.6,16.743,30.44,5,0,1
35.46,25.37,45.27,6.32,19.34,0.5,0.51,13.881,60.64,3,2,2
79.36,24.27,70.59,5.9,5.94,0.5,0.5,7.139,20.3,6,1,1
35.87,30.64,54.66,6.51,29.66,0.5,0.46,13.892,57.34,0,1,2
53.67,19.73,64.8,7.1,28.77,0.5,0.46,6.945,39.78,0,1,1
38.87,21.39,61.66,6.94,20.87,0.5,0.42,8.2,56.59,4,1,2
5.0,33.66,60.23,7.34,21.26,0.5,0.46,13.385,90.45,2,1,4
86.6,19.13,72.42,7.21,0.6,0.5,0.575,5.276,14.68,8,0,0
81.04,29.04,58.51,7.59,58.57,0.5,0.575,12.047,4.71,2,0,0
67.92,26.17,60.74,6.83,25.02,0.5,0.46,10.272,26.52,2,1,1
34.96,28.35,52.83,4.74,14.9,0.5,0.446,13.374,62.17,4,2,3
89.77,22.45,53.16,6.48,30.31,0.5,0.489,10.517,3.33,2,2,0
32.53,24.68,66.12,6.42,9.29,0.5,0.6,8.362,66.48,5,0,3
29.86,23.96,86.54,7.15,30.17,0.5,0.383,3.224,63.01,1,2,3
39.7,26.36,51.6,5.44,84.32,0.5,0.531,12.757,39.04,6,2,2
57.39,33.93,64.15,6.99,14.34,0.5,0.446,12.162,39.89,7,2,1
26.23,36.49,49.36,6.77,18.95,0.5,0.531,18.476,70.02,6,2,3
13.85,21.71,50.64,6.35,11.64,0.5,0.489,10.714,84.25,2,2,4
50.73,10.2,67.64,7.04,47.85,0.5,0.489,3.302,37.67,0,2,1
60.0,30.18,52.51,5.68,34.52,0.5,0.489,14.332,31.97,2,2,1
60.69,23.46,73.96,7.42,7.74,0.5,0.5,6.107,38.49,6,1,1
72.24,33.09,68.98,5.98,53.53,0.5,0.661,10.264,15.07,2,3,1
20.78,17.47,49.82,6.69,51.69,0.5,0.525,8.765,66.69,7,0,3
51.41,25.1,49.89,7.11,22.26,0.5,0.489,12.578,43.85,8,2,1
30.33,36.65,76.63,7.63,12.02,0.5,0.625,8.566,68.02,6,0,3
43.35,33.75,67.59,7.08,47.27,0.5,0.575,10.936,45.43,0,0,2
66.96,28.14,66.63,7.8,65.32,0.5,0.575,9.39,16.98,0,0,1
65.03,20.53,73.24,6.21,2.75,0.5,0.531,5.494,35.56,6,2,1
50.67,28.62,83.45,6.27,2.87,0.5,0.531,4.737,49.89,6,2,1
36.23,29.17,58.6,5.47,17.75,0.5,0.575,12.077,60.45,8,0,2
5.0,35.6,70.35,7.81,46.09,0.5,0.383,10.557,83.61,1,2,4
19.22,34.39,27.66,5.78,73.48,0.5,0.46,24.874,62.25,0,1,3
69.65,28.97,79.18,6.19,16.88,0.5,0.517,6.033,27.12,1,3,1
33.75,31.07,44.83,7.56,1.38,0.5,0.489,17.14,67.1,0,2,3
56.88,33.13,59.12,6.42,49.5,0.5,0.5,13.544,31.11,6,1,1
70.47,26.79,52.88,5.79,9.82,0.5,0.48,12.623,28.1,3,1,1
69.27,34.2,62.38,8.07,78.3,0.5,0.36,12.866,10.66,1,1,0
18.88,42.87,73.67,7.8,3.98,0.5,0.531,11.288,81.38,6,2,4
63.18,23.74,59.69,7.13,155.07,0.5,0.5,9.571,0.0,6,1,1
30.39,28.16,40.29,6.16,22.89,0.5,0.48,16.812,64.68,5,1,3
25.9,8.94,64.19,6.73,15.5,0.5,0.383,3.202,70.9,1,2,3
74.65,32.41,75.17,7.22,3.32,0.5,0.69,8.047,26.18,5,3,1
62.79,29.59,70.68,6.89,49.17,0.5,0.51,8.675,25.31,5,2,1
53.92,22.35,29.64,5.45,36.61,0.5,0.719,15.721,38.07,6,3,1
39.13,35.45,44.83,5.7,12.86,0.5,0.46,19.554,58.58,0,1,2
45.9,25.12,65.83,6.29,1.7,0.5,0.625,8.585,55.21,6,0,2
36.03,30.77,84.69,5.62,52.87,0.5,0.42,4.709,50.85,4,1,2
35.13,24.91,47.82,7.93,23.15,0.5,0.719,12.996,60.46,6,3,2
29.54,29.17,71.55,6.5,21.18,0.5,0.42,8.3,65.83,7,1,3
12.59,30.72,49.89,4.76,44.7,0.5,0.69,15.392,77.16,5,3,4
35.84,31.06,72.2,5.89,123.37,0.5,0.45,8.635,32.24,1,0,2
34.5,19.55,36.65,6.98,29.36,0.5,0.661,12.384,59.29,0,3,3
14.08,24.56,72.01,6.64,7.1,0.5,0.51,6.876,85.3,5,2,4
55.54,34.84,49.12,7.53,4.63,0.5,0.575,17.724,44.66,0,0,1
35.5,24.03,47.16,6.07,37.52,0.5,0.6,12.696,55.95,5,0,2
15.69,11.72,51.93,6.62,4.08,0.5,0.517,5.635,84.51,1,3,4
5.0,28.1,90.73,7.88,22.16,0.5,0.525,2.605,90.38,7,0,4
26.57,28.66,35.9,6.68,18.07,0.5,0.489,18.37,69.82,0,2,3
76.44,28.05,60.87,6.29,9.73,0.5,0.5,10.978,22.2,6,1,1
57.88,23.48,95.49,5.79,56.16,0.5,0.51,1.059,28.35,5,2,1
12.59,23.59,57.08,7.03,42.55,0.5,0.575,10.125,77.45,0,0,4
47.72,29.2,44.45,5.83,15.42,0.5,0.625,16.223,49.71,6,0,2
66.98,22.56,85.11,6.19,5.44,0.5,0.719,3.359,33.36,6,3,1
56.61,30.84,64.06,6.51,9.24,0.5,0.446,11.086,42.03,7,2,1
49.35,30.37,60.5,7.58,20.55,0.5,0.46,11.998,46.29,0,1,2
68.4,29.88,52.19,6.19,56.5,0.5,0.446,14.288,17.58,7,2,1
43.63,22.12,33.44,7.42,77.44,0.5,0.575,14.726,37.06,8,0,2
63.39,25.93,36.35,5.22,15.59,0.5,0.575,16.506,33.87,0,0,1
61.18,28.94,43.0,6.23,2.12,0.5,0.719,16.497,40.05,6,3,1
38.4,31.53,79.95,6.64,28.84,0.5,0.525,6.322,55.19,7,0,2
8.06,26.21,67.14,5.0,0.98,0.5,0.575,8.613,93.11,0,0,4
28.52,33.85,66.73,7.9,3.46,0.5,0.575,11.261,71.99,8,0,3
26.71,20.52,67.31,6.99,20.56,0.5,0.46,6.708,68.93,2,1,3
56.61,14.58,64.87,7.67,151.0,0.5,0.46,5.123,4.09,8,1,1
44.38,21.85,52.71,6.19,10.87,0.5,0.48,10.335,53.91,3,1,2
33.49,31.33,66.39,6.8,30.52,0.5,0.525,10.531,59.65,7,0,3
25.36,23.6,47.11,5.92,6.54,0.5,0.661,12.481,74.55,2,3,3
19.38,28.59,51.85,6.67,36.75,0.5,0.719,13.769,72.58,6,3,4
54.96,26.93,77.36,6.22,33.41,0.5,0.531,6.096,37.41,6,2,1
64.86,27.21,45.69,6.93,74.72,0.5,0.6,14.778,16.63,5,0,1
64.58,27.53,59.21,6.31,12.51,0.5,0.69,11.228,33.79,5,3,1
52.4,29.46,19.71,6.29,24.02,0.5,0.575,23.655,42.6,0,0,1
70.46,33.04,41.51,8.24,9.06,0.5,0.46,19.327,28.26,2,1,1
81.63,31.87,68.86,5.72,8.94,0.5,0.489,9.925,17.2,8,2,1
26.48,26.41,63.56,5.8,52.84,0.5,0.531,9.626,60.69,6,2,3
61.41,22.32,56.23,6.42,44.06,0.5,0.42,9.768,27.84,4,1,1
41.79,21.13,52.55,6.94,60.23,0.5,0.46,10.027,43.22,2,1,2
60.57,13.43,52.16,6.1,13.0,0.5,0.525,6.427,37.26,7,0,1
26.67,33.42,62.5,6.55,20.43,0.5,0.446,12.534,68.97,4,2,3
66.68,33.63,46.83,7.27,2.3,0.5,0.42,17.88,33.76,7,1,1
95.0,30.6,59.22,5.93,52.75,0.5,0.525,12.478,0.0,7,0,0
13.29,34.35,57.41,7.12,4.64,0.5,0.42,14.631,86.52,4,1,4
39.55,26.67,58.29,6.59,0.76,0.5,0.48,11.121,61.45,3,1,2
49.97,20.25,43.67,6.73,15.27,0.5,0.69,11.41,47.66,3,3,2
22.18,41.15,49.27,7.27,9.76,0.5,0.69,20.878,76.93,3,3,3
63.27,19.86,60.65,6.22,51.57,0.5,0.51,7.814,24.19,5,2,1
51.93,28.5,70.58,6.45,14.58,0.5,0.36,8.383,45.07,1,1,1
58.07,22.69,48.83,6.89,17.58,0.5,0.604,11.609,38.73,4,3,1
41.77,28.56,50.08,6.89,85.95,0.5,0.661,14.256,36.86,0,3,2
27.07,28.68,47.26,6.82,21.25,0.5,0.719,15.129,69.03,6,3,3
60.14,27.87,50.61,6.87,21.35,0.5,0.604,13.768,35.65,4,3,1
34.38,34.86,50.85,4.9,5.6,0.5,0.525,17.132,65.43,7,0,3
43.13,26.72,76.25,6.29,38.39,0.5,0.69,6.345,48.31,3,3,2
57.61,22.87,41.9,7.44,89.08,0.5,0.489,13.286,19.75,2,2,1
47.36,26.69,61.29,6.04,10.02,0.5,0.5,10.332,51.2,6,1,2
47.73,32.29,50.76,6.97,52.04,0.5,0.625,15.902,39.89,6,0,2
54.58,25.81,60.68,7.39,26.13,0.5,0.719,10.149,40.21,6,3,1
35.04,21.24,39.68,5.67,115.55,0.5,0.661,12.81,35.66,2,3,2
58.28,27.61,55.64,5.71,16.88,0.5,0.489,12.248,38.42,0,2,1
43.73,34.07,42.37,7.82,63.95,0.5,0.383,19.634,40.1,1,2,2
57.12,41.9,70.93,6.23,33.27,0.5,0.517,12.183,35.26,1,3,1
58.97,27.45,76.16,7.33,18.11,0.5,0.69,6.543,37.91,5,3,1
95.0,39.61,77.49,6.89,43.05,0.5,0.575,8.917,0.0,2,0,0
63.43,20.09,51.63,6.46,0.44,0.5,0.45,9.718,37.58,1,0,1
84.83,21.45,74.42,7.58,27.2,0.5,0.604,5.486,9.39,7,3,0
32.46,26.06,79.97,6.5,3.32,0.5,0.575,5.221,68.09,8,0,3
48.77,27.37,46.3,6.04,11.22,0.5,0.45,14.698,49.35,1,0,2
77.42,24.63,55.43,7.09,39.22,0.5,0.383,10.977,13.03,1,2,0
58.0,26.31,61.74,6.22,18.0,0.5,0.42,10.064,38.23,7,1,1
71.94,25.13,94.98,7.08,6.85,0.5,0.45,1.262,27.35,1,0,1
10.34,36.29,62.97,5.26,12.72,0.5,0.604,13.439,87.77,4,3,4
51.72,29.57,72.86,7.36,8.76,0.5,0.6,8.026,47.44,3,0,1
20.59,27.93,53.38,5.99,71.82,0.5,0.446,13.021,61.29,4,2,3
44.18,30.19,30.88,4.59,62.04,0.5,0.69,20.872,40.93,3,3,2
14.18,23.69,64.48,5.71,34.52,0.5,0.525,8.416,77.89,7,0,4
32.74,31.01,41.54,4.81,15.63,0.5,0.446,18.126,64.18,4,2,3
41.81,37.23,93.58,6.99,20.72,0.5,0.446,2.392,53.75,7,2,2
38.37,35.02,43.23,6.49,6.64,0.5,0.661,19.882,61.5,2,3,2
58.85,19.61,55.02,7.47,25.44,0.5,0.446,8.82,35.45,7,2,1
56.82,25.59,48.56,6.96,42.43,0.5,0.5,13.163,33.07,6,1,1
51.54,30.97,50.84,8.05,28.18,0.5,0.45,15.228,42.03,1,0,1
89.84,23.73,58.53,5.96,17.17,0.5,0.69,9.841,7.28,5,3,0
94.91,18.01,48.56,7.15,2.95,0.5,0.42,9.262,5.35,4,1,0
18.28,25.97,63.2,6.38,45.55,0.5,0.575,9.556,70.96,2,0,4
46.98,31.38,51.84,6.26,56.62,0.5,0.51,15.112,39.13,3,2,2
32.4,16.55,54.1,7.3,47.39,0.5,0.489,7.597,56.13,8,2,3
50.5,27.21,56.69,6.71,26.75,0.5,0.42,11.782,43.39,4,1,1
70.99,21.34,64.01,5.79,10.87,0.5,0.383,7.681,27.05,1,2,1
17.73,22.29,69.24,4.5,40.59,0.5,0.42,6.856,72.44,4,1,4
64.24,16.85,73.64,5.93,65.28,0.5,0.383,4.44,19.23,1,2,1
56.18,28.85,68.54,6.81,8.12,0.5,0.489,9.077,42.87,0,2,1
25.19,31.39,52.47,6.67,0.93,0.5,0.661,14.919,76.22,2,3,3
23.84,26.78,82.37,6.3,27.67,0.5,0.575,4.723,70.19,0,0,3
38.59,42.85,65.01,6.14,2.35,0.5,0.69,14.994,62.51,3,3,2
26.09,29.28,48.5,6.08,3.99,0.5,0.383,15.08,73.8,1,2,3
44.16,34.22,51.54,6.83,0.26,0.5,0.661,16.581,57.43,2,3,2
80.54,36.51,64.36,6.31,36.34,0.5,0.36,13.013,10.62,1,1,0
46.49,31.76,80.79,5.57,5.91,0.5,0.46,6.102,53.08,2,1,2
75.05,27.45,70.71,7.19,1.32,0.5,0.6,8.04,26.1,3,0,1
80.8,32.52,69.26,7.44,17.27,0.5,0.719,9.997,16.37,6,3,1
53.15,28.37,78.76,5.32,21.5,0.5,0.661,6.026,42.75,8,3,1
70.39,26.49,74.59,8.51,65.2,0.5,0.51,6.73,13.42,5,2,0
35.5,26.85,60.82,5.95,15.5,0.5,0.48,10.519,61.55,5,1,2
64.09,23.11,87.7,6.71,43.8,0.5,0.661,2.842,25.83,0,3,1
21.01,33.45,67.39,6.28,55.15,0.5,0.604,10.905,65.72,4,3,3
46.75,27.45,55.72,4.82,38.71,0.5,0.604,12.153,44.39,4,3,2
43.41,28.61,44.97,5.61,12.8,0.5,0.42,15.741,54.21,7,1,2
5.0,37.61,61.68,5.94,31.05,0.5,0.446,14.413,87.8,4,2,4
18.5,24.08,78.79,6.17,101.87,0.5,0.46,5.107,55.37,8,1,3
6.35,31.16,67.91,5.99,15.32,0.5,0.489,10.002,90.77,2,2,4
47.15,31.48,49.4,7.18,139.17,0.5,0.604,15.93,17.08,7,3,1
89.23,24.62,50.59,6.39,36.63,0.5,0.51,12.167,2.23,3,2,0
64.57,21.37,38.15,7.99,17.76,0.5,0.719,13.215,32.47,6,3,1
59.77,25.28,77.78,5.96,32.66,0.5,0.625,5.617,33.05,6,0,1
48.83,30.56,59.16,6.99,22.66,0.5,0.48,12.482,46.3,5,1,2
76.37,27.13,63.72,7.07,13.41,0.5,0.69,9.841,21.76,3,3,1
39.95,19.87,61.04,5.85,11.24,0.5,0.48,7.742,58.23,3,1,2
79.58,31.91,67.1,6.99,13.11,0.5,0.42,10.498,17.96,7,1,1
39.57,29.38,69.39,6.69,8.55,0.5,0.42,8.995,59.19,7,1,2
45.44,28.6,100.0,6.19,28.81,0.5,0.489,0.0,48.07,8,2,2
85.17,25.41,57.02,5.77,16.6,0.5,0.517,10.922,11.68,1,3,0
56.43,30.54,56.84,6.24,12.88,0.5,0.69,13.178,41.85,3,3,1
68.86,32.23,76.0,7.3,1.27,0.5,0.6,7.736,32.3,5,0,1
67.68,32.1,44.81,4.82,1.54,0.5,0.42,17.718,32.96,4,1,1
59.19,22.84,37.57,5.2,43.43,0.5,0.604,14.26,30.68,4,3,1
92.28,35.78,45.53,6.12,11.74,0.5,0.604,19.486,6.08,7,3,0
65.23,29.41,27.75,7.46,25.44,0.5,0.661,21.25,29.61,2,3,1
34.16,23.29,82.77,6.39,3.85,0.5,0.51,4.013,66.08,5,2,3
5.0,36.12,95.14,5.9,54.9,0.5,0.5,1.755,81.55,6,1,4
49.02,24.03,58.03,6.92,69.08,0.5,0.46,10.085,33.62,2,1,2
81.44,24.31,64.88,6.14,8.11,0.5,0.525,8.539,17.7,4,0,1
78.97,26.59,56.9,6.5,7.7,0.5,0.36,11.459,19.86,1,1,1
42.83,22.49,20.33,5.78,38.8,0.5,0.531,17.92,48.1,6,2,2
24.84,45.0,46.83,6.47,48.63,0.5,0.489,23.925,63.36,2,2,3
40.64,33.03,79.91,6.24,2.81,0.5,0.69,6.636,60.33,5,3,2
49.64,35.13,97.9,6.08,52.23,0.5,0.5,0.736,37.62,6,1,2
89.09,20.52,92.6,7.42,9.94,0.5,0.36,1.517,9.15,1,1,0
59.32,32.7,53.78,7.26,1.08,0.5,0.48,15.115,41.59,5,1,1
87.37,26.5,54.18,6.9,29.07,0.5,0.489,12.144,6.07,0,2,0
55.04,21.72,71.91,4.75,19.08,0.5,0.517,6.102,41.14,1,3,1
57.88,24.38,77.85,8.47,18.07,0.5,0.45,5.401,38.4,1,0,1
55.69,33.7,37.57,6.3,40.23,0.5,0.46,21.041,34.68,0,1,1
29.39,37.71,78.23,7.09,91.5,0.5,0.625,8.211,47.67,6,0,2
66.87,36.44,86.89,7.3,44.72,0.5,0.446,4.777,22.27,7,2,1
42.22,24.0,72.79,5.17,26.02,0.5,0.525,6.531,52.12,7,0,2
70.08,33.39,61.77,5.67,46.9,0.5,0.42,12.766,18.41,4,1,1
30.45,22.86,48.96,5.62,23.08,0.5,0.604,11.667,64.88,4,3,3
30.52,28.87,53.29,6.57,11.18,0.5,0.446,13.487,67.6,4,2,3
77.21,30.04,65.06,6.82,65.73,0.5,0.69,10.497,6.91,5,3,0
49.49,38.35,61.48,6.05,43.54,0.5,0.719,14.773,40.64,6,3,2
27.25,18.81,25.89,7.93,9.03,0.5,0.604,13.938,71.85,7,3,3
29.54,40.05,74.76,6.22,29.35,0.5,0.46,10.11,63.75,8,1,3
30.47,26.98,59.83,7.13,75.96,0.5,0.525,10.836,50.49,4,0,3
36.0,33.38,71.03,5.17,9.03,0.5,0.525,9.671,62.9,4,0,2
92.57,15.83,61.43,6.6,98.33,0.5,0.661,6.104,0.0,0,3,0
43.11,21.66,47.53,7.61,11.12,0.5,0.46,11.369,55.07,8,1,2
40.54,25.08,80.7,6.95,40.4,0.5,0.575,4.84,50.07,8,0,2
42.51,31.72,64.55,6.44,11.74,0.5,0.575,11.243,55.79,2,0,2
37.76,27.21,66.41,6.97,5.83,0.5,0.719,9.142,62.47,6,3,2
69.98,32.45,57.63,7.2,3.02,0.5,0.46,13.751,30.36,0,1,1
60.72,14.94,33.23,5.96,87.73,0.5,0.48,9.972,16.98,5,1,1
64.78,42.06,67.87,6.41,56.8,0.5,0.489,13.513,21.23,8,2,1
42.01,28.18,72.42,7.11,15.31,0.5,0.525,7.771,55.21,4,0,2
73.08,25.2,49.98,7.3,73.53,0.5,0.5,12.605,8.48,6,1,0
18.48,20.81,77.63,6.39,3.33,0.5,0.46,4.656,81.78,8,1,4
67.64,20.83,66.89,8.09,77.21,0.5,0.51,6.897,12.95,5,2,0
65.96,32.66,44.17,6.21,20.68,0.5,0.42,18.238,29.55,4,1,1
61.94,21.77,62.04,6.63,34.67,0.5,0.42,8.264,29.82,7,1,1
28.16,24.71,64.23,6.87,3.35,0.5,0.48,8.838,72.14,5,1,3
30.75,25.6,67.64,7.5,22.87,0.5,0.517,8.283,64.41,1,3,3
44.1,24.51,72.38,7.03,14.5,0.5,0.661,6.77,53.67,2,3,2
38.68,25.85,71.97,7.36,28.24,0.5,0.46,7.244,54.9,8,1,2
82.06,25.21,78.03,5.79,22.13,0.5,0.489,5.538,13.23,0,2,0
77.48,22.02,42.48,6.78,5.77,0.5,0.69,12.667,22.7,5,3,1
22.69,30.63,75.09,7.05,56.98,0.5,0.489,7.629,63.27,2,2,3
5.0,20.0,92.38,7.44,8.8,0.5,0.6,1.524,94.14,5,0,4
62.15,21.39,65.23,6.16,8.65,0.5,0.489,7.438,36.75,8,2,1
60.1,31.37,44.64,6.58,31.65,0.5,0.383,17.365,32.38,1,2,1
49.86,36.91,61.07,4.99,1.95,0.5,0.48,14.368,50.82,3,1,2
61.28,29.49,75.8,6.71,7.63,0.5,0.48,7.135,37.88,5,1,1
29.42,42.83,57.81,6.52,2.1,0.5,0.661,18.071,71.67,0,3,3
53.95,27.8,43.93,6.75,5.66,0.5,0.661,15.585,46.19,2,3,1
49.35,35.57,63.2,6.03,6.03,0.5,0.36,13.088,49.94,1,1,2
60.07,40.08,59.61,7.67,10.7,0.5,0.69,16.19,38.79,5,3,1
64.66,26.4,87.16,5.73,2.32,0.5,0.48,3.39,35.92,3,1,1
72.95,29.67,51.33,6.09,8.77,0.5,0.46,14.44,25.85,2,1,1
33.27,31.43,61.78,6.81,56.33,0.5,0.719,12.012,53.44,6,3,3
78.17,26.52,80.14,8.05,35.33,0.5,0.42,5.268,13.42,4,1,0
46.71,25.96,47.61,7.03,10.67,0.5,0.46,13.6,51.58,8,1,2
