N,P,K,pH,Moisture,Fertility
64.15,28.17,27.41,5.47,63.33,Medium
91.46,11.65,28.61,6.56,34.81,Medium
55.21,17.24,15.99,6.72,5.0,Medium
112.18,12.9,46.37,6.14,40.24,High
56.33,50.9,45.74,5.63,53.84,High
42.11,2.73,52.86,5.43,63.51,Medium
56.27,16.55,7.99,6.4,90.42,Medium
68.07,19.32,27.22,8.04,59.57,Medium
73.22,40.54,47.86,6.69,67.31,High
24.69,32.15,40.89,7.01,63.35,Medium
45.15,28.27,49.37,6.72,79.65,Medium
91.84,15.32,40.46,7.29,35.66,High
54.64,37.38,51.18,7.31,60.2,High
87.21,30.34,26.72,5.97,53.99,Medium
76.29,26.83,28.51,6.59,54.31,Medium
63.2,13.4,0.0,6.5,44.07,Medium
60.24,25.53,29.79,5.46,42.93,Medium
50.15,35.17,22.49,6.83,50.82,Medium
134.41,38.51,52.91,5.78,72.46,Medium
88.33,53.47,30.46,5.08,69.79,Medium
72.83,51.72,9.64,8.56,41.25,Medium
19.29,1.77,29.48,7.45,75.8,Medium
19.11,67.76,66.46,8.39,41.11,Medium
69.11,11.51,11.67,6.06,77.7,Medium
68.26,74.96,26.6,7.63,42.66,Medium
94.4,0.0,33.77,6.99,66.87,Medium
30.13,16.93,10.59,7.15,68.99,Medium
90.7,15.93,12.78,6.66,57.89,Medium
27.9,0.0,36.45,8.33,36.24,Low
34.71,24.51,33.67,5.7,63.1,Medium
67.18,20.12,0.0,6.94,34.18,Medium
67.5,68.56,51.17,5.4,95.0,Medium
79.32,63.9,69.78,7.16,18.89,High
0.0,23.67,40.77,5.37,55.5,Medium
40.66,60.76,53.21,4.77,78.62,Medium
40.7,25.8,27.51,7.14,42.82,Medium
51.24,20.76,20.35,7.15,74.48,Medium
69.72,26.53,28.66,7.15,31.36,Medium
94.61,28.95,42.03,4.95,24.21,Medium
54.56,36.74,31.23,7.08,30.77,Medium
25.44,25.36,0.0,7.61,25.35,Low
111.8,31.56,35.66,6.67,40.39,High
67.63,46.54,20.79,6.89,56.86,High
38.54,10.8,56.55,5.51,50.05,Medium
87.37,21.05,45.71,4.8,63.03,Medium
0.35,4.36,25.23,6.66,36.33,Medium
85.23,33.06,32.02,8.0,19.66,Medium
38.94,9.05,47.22,7.4,32.6,Medium
71.2,35.85,7.77,7.06,50.88,Medium
43.76,46.76,3.78,6.07,36.71,Medium
72.3,28.75,27.56,5.68,22.66,Medium
93.26,0.0,24.22,8.14,64.1,Medium
24.3,23.37,15.38,6.47,50.99,Medium
67.88,31.62,17.98,6.87,46.5,Medium
15.72,15.01,63.55,6.25,65.5,Medium
60.08,51.11,49.29,5.54,48.61,High
83.45,50.86,55.63,7.43,36.75,High
66.25,64.82,30.37,7.29,48.48,High
44.38,13.1,28.18,6.92,37.18,Medium
101.09,28.52,0.0,5.34,43.11,Medium
35.32,31.78,0.0,6.93,29.11,Medium
114.93,16.66,63.5,5.77,24.27,Medium
40.75,31.49,11.03,5.74,34.42,Medium
58.22,4.47,50.62,3.94,50.88,Medium
65.35,50.53,26.49,8.69,46.17,Medium
107.78,40.49,61.5,7.82,50.51,High
73.55,0.0,45.22,4.8,40.44,Medium
0.0,24.55,53.32,5.4,86.17,Medium
83.01,42.17,8.81,6.47,77.52,Medium
37.13,57.0,79.49,4.11,63.32,Medium
20.92,16.31,33.25,5.64,42.62,Medium
84.49,60.87,27.39,7.01,18.52,High
108.1,25.17,18.44,6.3,55.13,High
56.59,23.22,42.84,7.06,35.71,Medium
111.21,61.63,26.8,5.19,70.38,Medium
38.84,31.03,22.03,7.78,17.61,Medium
50.7,29.06,31.41,6.52,49.75,Medium
65.84,43.43,43.19,4.71,62.64,Medium
41.61,43.01,36.44,7.19,55.13,High
0.0,18.13,27.45,6.36,32.17,Medium
16.1,12.63,55.27,7.48,52.06,Medium
29.05,14.69,68.36,6.89,45.88,Medium
86.81,43.65,48.26,5.21,72.8,Medium
69.67,11.57,10.24,7.02,38.27,Medium
66.07,67.24,10.52,7.69,58.92,Medium
105.02,75.76,35.07,5.81,44.77,High
68.23,12.73,21.13,5.36,38.63,Low
66.87,22.15,25.95,5.65,14.86,Medium
0.0,49.52,23.79,3.51,42.83,Medium
13.4,0.0,62.86,6.36,52.44,Medium
63.05,41.51,28.62,7.43,34.59,Medium
15.81,46.0,46.43,6.95,31.51,Medium
54.33,42.1,33.99,7.13,64.13,High
47.58,0.0,58.28,6.35,43.58,Medium
45.43,2.61,60.12,4.75,57.71,Medium
46.33,21.45,42.62,6.27,49.39,High
16.21,19.3,0.0,6.51,62.88,Medium
2.26,24.2,74.26,6.82,41.39,Medium
85.9,24.05,40.38,6.25,48.8,High
70.13,17.04,44.64,6.99,67.54,High
77.56,0.0,66.47,7.19,44.67,Medium
29.03,34.27,28.1,5.77,71.18,Medium
36.91,1.06,30.33,6.71,39.86,Medium
59.12,25.57,30.5,6.96,31.49,Medium
85.24,39.63,38.19,5.46,48.23,Medium
40.33,6.43,33.78,6.33,25.02,Medium
76.13,10.76,48.6,7.63,53.72,Medium
84.98,68.29,10.82,6.52,76.32,Medium
64.72,42.7,38.61,7.0,59.67,High
35.26,16.45,10.58,7.75,39.82,Low
50.46,41.8,33.99,5.77,43.55,Medium
76.26,39.55,20.57,6.93,42.36,Medium
31.49,44.91,20.55,8.08,21.03,Medium
71.57,0.0,17.38,5.09,45.85,Medium
84.35,27.25,36.0,6.0,56.76,Medium
85.5,38.11,17.01,6.24,60.79,High
62.67,37.26,44.07,5.85,39.56,Medium
38.83,50.01,38.89,5.63,79.0,Medium
85.1,42.78,11.4,7.62,31.6,Medium
55.2,21.95,29.17,8.26,57.62,Medium
43.03,42.61,11.56,5.86,29.13,Medium
99.17,4.53,18.31,6.84,64.03,Medium
66.41,3.61,2.71,7.46,73.58,Medium
94.47,30.35,61.8,5.88,27.5,Medium
68.19,43.42,62.51,6.15,37.14,High
20.85,0.0,51.77,7.66,73.51,Medium
38.9,2.51,56.15,6.69,55.7,Medium
103.23,4.25,43.19,5.02,55.98,Medium
61.94,0.0,54.42,6.02,25.57,Medium
38.48,39.77,0.0,7.0,77.18,Medium
30.31,45.4,58.69,7.52,46.31,Medium
49.44,30.68,40.06,5.15,61.08,Medium
70.03,25.07,47.37,5.49,30.51,Medium
90.9,13.83,19.98,4.92,35.78,Medium
76.35,25.85,60.73,5.99,35.94,Medium
41.72,49.83,35.62,6.67,10.46,Medium
39.55,60.07,5.18,6.49,56.01,Medium
31.34,30.46,44.75,6.99,41.3,Medium
93.19,7.04,18.26,4.03,62.02,Medium
17.11,14.28,52.16,7.7,15.51,Medium
77.74,40.9,37.0,7.66,75.51,Medium
0.0,28.04,65.32,6.19,54.31,Medium
51.46,28.09,0.0,5.25,41.05,Medium
47.8,0.31,20.36,7.1,68.73,Medium
93.28,22.62,23.27,5.66,38.52,Medium
92.19,14.02,8.45,5.99,50.21,Medium
121.47,23.22,30.58,7.54,8.62,Medium
51.65,36.41,50.06,7.85,64.93,Medium
56.89,9.65,38.81,5.89,54.11,Medium
78.33,9.93,12.89,5.07,48.62,Low
31.99,65.43,46.88,5.46,30.74,Medium
44.88,48.03,38.19,6.28,53.27,High
81.72,45.06,54.29,6.51,39.72,High
61.44,54.94,33.8,6.31,34.46,Medium
45.78,48.17,48.48,6.33,36.05,High
50.67,2.76,46.02,8.17,22.68,Medium
13.59,14.6,52.76,7.87,30.04,Medium
68.23,33.5,7.33,8.49,56.26,Medium
85.59,48.89,29.89,5.71,66.22,High
28.04,22.24,29.68,5.25,25.94,Low
39.61,63.04,8.15,7.14,75.05,Medium
50.94,55.86,19.56,6.06,18.94,Medium
36.53,29.5,0.47,3.72,31.12,Low
134.31,36.47,52.48,6.13,22.16,High
111.23,20.74,0.0,5.09,91.61,Medium
54.92,48.05,13.15,6.48,23.29,Medium
94.99,16.25,7.23,6.53,49.02,Medium
90.13,45.89,16.54,6.74,25.28,High
55.77,7.95,46.71,5.56,60.68,Medium
51.21,36.63,28.02,5.81,31.8,Medium
19.2,39.62,13.88,7.54,34.5,Low
95.86,60.38,43.61,6.36,47.86,High
26.71,64.4,31.26,5.2,35.15,Medium
117.26,3.36,45.95,7.96,42.03,Medium
87.01,20.11,35.51,6.21,56.84,High
85.63,34.25,24.62,6.3,34.2,Medium
14.2,32.53,66.24,5.29,58.78,Medium
10.71,41.49,40.33,7.06,25.11,Medium
62.27,83.84,8.97,7.23,42.73,Medium
2.29,12.65,22.22,4.55,42.55,Low
75.65,60.41,17.59,6.49,27.69,Medium
14.38,75.14,20.66,7.34,47.09,Medium
90.38,0.15,13.32,5.48,27.36,Low
6.99,56.42,45.01,7.84,69.09,Medium
70.84,30.58,27.88,7.56,70.46,Medium
55.08,42.89,22.16,7.86,64.81,Medium
79.97,13.24,18.21,7.63,80.08,Medium
23.52,68.39,20.08,6.36,73.08,Medium
48.82,39.71,50.66,6.85,51.42,High
71.82,20.8,47.47,6.56,83.89,Medium
124.46,0.0,50.35,5.72,38.84,Medium
41.77,54.06,23.12,5.05,56.25,Medium
92.66,0.0,33.83,4.93,65.45,Medium
38.69,29.09,55.12,7.08,28.76,Medium
128.77,34.91,29.79,4.08,55.02,Medium
44.94,24.04,56.76,6.1,66.11,High
89.36,30.44,49.47,5.99,70.44,Medium
71.09,0.67,43.86,7.15,39.68,Medium
93.71,54.3,26.8,6.51,39.35,High
109.81,57.71,7.84,5.12,57.71,Medium
60.07,44.8,44.77,7.34,72.43,High
71.84,38.91,49.05,7.09,37.2,Medium
21.92,34.36,22.66,7.1,81.6,Medium
57.24,0.0,27.56,6.42,74.12,Medium
46.86,3.95,32.11,8.22,52.87,Medium
82.76,40.83,28.01,6.08,32.91,High
56.11,36.4,25.11,5.89,62.47,Medium
105.94,29.19,34.2,6.3,54.18,High
37.36,1.79,27.26,5.86,41.45,Medium
45.21,39.97,23.64,5.95,77.75,Medium
15.28,34.32,11.94,5.62,45.2,Medium
67.05,35.48,19.79,6.8,63.43,Medium
73.02,7.94,0.0,7.3,52.62,Medium
91.95,57.92,17.5,5.16,51.38,Medium
107.42,0.0,47.43,6.08,57.66,High
49.24,80.65,54.27,6.79,32.2,High
45.47,27.89,21.9,4.87,59.03,Medium
78.94,29.39,0.0,7.51,11.23,Medium
100.57,35.39,19.4,6.61,5.0,Medium
110.46,14.23,8.1,5.88,42.76,Medium
12.95,46.46,44.68,5.69,46.09,Medium
66.02,73.01,35.8,4.66,61.45,Medium
97.86,52.07,58.28,6.46,5.0,High
107.35,57.39,34.9,5.88,76.23,Medium
45.15,57.62,34.04,5.84,57.26,Medium
44.61,44.46,11.19,8.04,31.94,Medium
40.82,10.71,20.06,6.13,55.98,Medium
36.76,49.73,8.94,6.98,37.38,Medium
101.03,22.48,26.92,7.57,48.79,Medium
68.48,49.17,23.77,6.05,15.84,Medium
74.03,0.0,32.26,6.57,67.25,Medium
88.8,11.45,0.0,6.23,59.49,Medium
61.77,32.52,1.93,7.07,60.84,Medium
73.32,28.68,37.89,6.6,87.73,Medium
60.41,7.13,50.55,5.75,29.37,Medium
36.8,58.09,0.0,6.59,53.85,Medium
123.55,51.97,40.95,7.06,30.77,High
61.28,31.02,15.99,6.12,50.05,Medium
96.13,62.39,65.42,6.3,46.87,High
85.94,39.62,29.1,7.05,44.77,High
101.4,6.93,28.97,8.3,23.92,Medium
88.08,18.91,10.53,6.49,47.72,Medium
23.34,64.88,27.36,5.83,30.94,Medium
55.33,30.75,25.04,6.49,32.48,Medium
0.0,29.9,50.61,5.76,47.1,Medium
46.23,36.54,25.04,7.65,52.09,Medium
8.14,9.44,33.15,5.95,75.15,Low
73.1,38.94,26.01,5.61,42.61,Medium
84.34,53.77,66.51,7.17,28.53,High
34.52,25.86,38.82,6.28,71.67,Medium
78.55,21.28,24.78,5.36,58.05,Medium
60.27,56.33,22.32,6.55,72.24,Medium
82.65,29.26,0.0,7.01,64.25,Medium
62.18,27.79,28.41,7.07,72.46,Medium
33.04,40.96,21.66,7.38,57.62,Medium
122.49,39.0,35.71,8.12,82.33,Medium
33.17,20.88,51.17,7.52,86.09,Medium
15.13,31.69,15.42,4.87,52.41,Medium
54.72,23.24,11.13,8.35,17.2,Low
75.18,60.41,34.66,6.79,40.19,High
58.58,21.22,74.39,6.4,60.51,High
22.39,26.19,35.91,7.03,57.13,Medium
75.52,11.28,0.0,6.07,66.94,Medium
41.14,14.13,58.08,6.23,48.31,Medium
114.4,65.86,39.35,6.7,41.24,High
66.09,64.36,0.0,5.37,58.67,Medium
51.95,30.66,41.3,6.13,90.44,Medium
75.82,46.15,46.64,6.17,50.86,High
24.83,49.78,28.88,5.51,66.0,Medium
73.59,24.9,0.0,8.04,31.07,Low
50.61,33.13,13.12,6.18,74.14,Medium
86.0,29.73,46.5,7.54,58.82,High
59.31,2.19,5.13,7.12,69.53,Medium
88.16,21.92,24.91,7.39,34.5,Medium
2.74,30.79,31.83,8.36,31.53,Low
20.83,51.44,55.87,7.22,43.81,High
43.01,27.55,5.34,7.86,24.72,Medium
47.27,2.81,28.66,6.96,42.19,Medium
47.9,44.59,55.35,5.57,40.97,High
74.59,8.73,4.0,8.24,34.92,Low
65.96,0.76,29.36,5.96,29.05,Medium
77.91,28.31,26.96,7.36,66.21,Medium
18.46,35.16,42.68,5.66,57.78,Medium
59.25,54.72,22.76,8.23,40.7,Medium
86.08,33.77,41.47,7.85,40.56,High
58.68,49.79,22.12,7.03,59.87,High
53.2,35.98,47.04,5.25,55.77,Medium
19.81,12.9,45.44,6.24,15.95,Medium
62.22,73.86,6.54,6.83,23.39,Medium
99.54,64.06,0.0,7.32,57.79,High
25.2,57.73,33.38,7.45,44.43,Medium
55.7,0.68,18.12,4.51,60.82,Medium
67.19,26.0,44.0,7.28,52.23,High
61.73,33.65,51.4,6.61,65.99,High
17.99,39.62,0.0,5.97,52.29,Medium
121.45,27.99,16.81,5.74,53.29,Medium
95.7,43.38,44.16,5.07,75.62,Medium
7.87,45.03,46.66,6.63,23.14,Medium
110.25,29.41,38.51,7.13,40.4,High
47.49,3.11,14.73,5.53,77.74,Low
96.68,46.86,19.71,6.09,38.51,High
97.46,43.18,26.5,5.06,58.91,Medium
90.03,53.95,52.64,6.49,54.59,High
63.7,9.88,53.06,6.21,76.15,Medium
40.14,14.39,1.0,9.0,37.27,Low
16.33,25.21,16.93,7.9,48.13,Medium
16.16,38.04,62.37,5.15,51.87,Medium
59.87,56.38,29.31,7.27,11.88,Medium
61.45,11.45,35.08,6.72,58.74,Medium
20.77,18.39,43.32,4.04,29.33,Medium
16.5,29.81,20.28,7.26,52.35,Medium
57.98,3.24,36.44,6.13,19.11,Medium
77.25,13.6,48.27,7.41,53.29,Medium
123.14,31.78,50.63,9.0,38.67,Medium
52.47,0.0,27.55,7.01,29.63,Medium
29.42,37.09,23.16,6.11,39.65,Medium
0.6,48.21,21.22,7.3,22.05,Medium
30.49,47.12,20.76,4.35,90.85,Medium
72.12,6.53,61.26,5.36,46.15,Medium
50.91,35.83,32.22,7.0,54.0,Medium
60.6,11.46,15.98,4.49,42.3,Medium
48.32,72.37,0.0,6.98,56.05,Medium
47.74,32.19,59.94,6.95,35.79,Medium
56.02,43.17,27.25,7.25,59.66,High
63.25,18.52,18.9,6.23,9.83,Medium
38.69,40.55,33.3,7.59,17.35,Medium
32.33,27.56,8.67,7.6,28.72,Low
84.16,34.37,34.73,6.85,29.99,Medium
41.45,41.05,46.07,7.32,49.91,High
51.73,0.0,52.36,6.4,60.52,Medium
72.65,25.42,33.44,6.46,30.41,Medium
105.49,0.25,24.41,6.7,29.59,Medium
84.52,7.47,25.34,7.27,56.43,Medium
54.2,10.55,73.11,8.05,84.63,Medium
76.79,0.0,33.28,7.0,68.4,Medium
17.55,39.44,3.47,7.22,80.88,Medium
79.09,48.04,61.74,5.92,24.96,Medium
106.07,30.61,34.89,7.76,32.21,Medium
67.53,0.0,5.89,6.65,38.37,Medium
74.53,37.58,8.44,6.87,57.76,Medium
54.65,22.14,31.18,5.72,30.14,Medium
15.07,26.33,36.88,7.76,73.78,Medium
63.91,9.41,0.0,4.78,66.91,Low
65.78,41.35,80.73,7.32,42.52,High
65.85,22.55,17.03,6.4,68.19,Medium
92.89,77.87,24.92,5.66,5.0,Medium
59.89,20.65,23.67,6.26,54.55,Medium
12.31,35.42,1.08,7.43,29.86,Medium
81.16,5.54,7.19,5.91,87.51,Medium
3.02,25.6,27.63,7.01,33.82,Medium
30.56,5.17,18.99,6.23,14.23,Medium
63.28,12.65,43.28,5.83,57.67,Medium
66.8,26.64,50.57,5.66,48.02,Medium
118.36,13.68,44.7,8.47,55.33,Medium
40.37,3.6,31.96,7.19,48.6,Medium
30.36,25.79,47.21,6.7,19.45,Medium
51.52,41.19,23.52,5.85,38.48,Medium
73.87,19.12,0.0,7.59,43.33,Medium
36.83,29.9,17.66,5.95,65.33,Medium
37.79,24.89,45.35,6.19,31.87,Medium
112.73,39.35,26.79,6.32,30.3,Medium
90.56,9.64,21.05,6.91,43.62,Medium
35.65,26.5,10.89,6.42,55.16,Medium
45.43,41.59,11.72,5.57,71.96,Medium
56.03,52.99,44.41,5.95,62.72,High
37.5,43.17,43.39,6.32,31.11,Medium
74.88,61.98,13.59,7.49,57.16,Medium
124.0,0.0,30.5,6.51,75.1,Medium
117.91,7.29,9.75,5.03,22.01,Low
55.76,0.0,0.0,5.46,43.69,Low
99.6,35.26,28.65,6.63,54.39,High
83.1,26.64,11.68,6.44,33.49,Medium
45.59,0.0,40.86,7.74,49.62,Medium
15.9,23.12,5.13,7.83,84.74,Low
68.29,38.39,16.59,5.1,67.26,Medium
11.88,35.27,33.54,5.6,70.52,Medium
99.07,15.43,6.87,7.54,35.81,Medium
0.0,25.57,33.49,5.61,18.28,Medium
39.5,18.24,45.59,4.85,78.81,Medium
71.82,14.11,0.0,7.65,52.05,Medium
40.75,70.66,37.1,5.38,35.7,Medium
53.15,37.65,9.98,7.98,25.69,Medium
46.24,46.84,52.52,7.66,64.46,High
13.69,18.86,22.62,7.93,13.66,Medium
65.36,54.56,4.61,5.14,34.55,Medium
55.36,38.02,17.04,7.19,70.57,Medium
53.29,49.2,28.6,6.84,26.6,Medium
47.67,24.06,14.62,6.62,39.24,Medium
132.78,13.04,12.46,5.87,66.82,Medium
83.3,56.92,21.61,6.73,34.09,High
39.5,47.2,61.41,7.55,29.77,Medium
43.63,24.82,0.0,6.82,47.6,Medium
58.06,12.43,10.54,7.2,19.66,Medium
31.78,5.07,10.37,6.45,45.53,Medium
19.47,0.55,37.28,6.63,45.82,Medium
45.56,0.0,36.11,6.37,66.01,Medium
59.14,51.26,34.22,7.21,54.34,High
18.83,10.15,39.87,6.7,19.71,Medium
83.52,10.39,32.36,6.83,76.58,Medium
78.45,36.85,36.3,7.6,67.02,Medium
93.64,18.45,26.88,6.61,40.73,High
86.22,27.72,22.07,6.35,51.76,High
58.09,13.8,35.96,7.8,72.34,Medium
75.22,31.73,31.37,7.1,29.75,Medium
73.03,25.86,42.98,6.41,22.51,Medium
80.02,47.98,0.0,5.76,24.02,Medium
60.46,42.41,29.89,5.61,73.02,Medium
26.9,53.42,16.28,5.65,53.72,Medium
0.0,9.4,26.08,5.64,59.24,Medium
40.72,22.58,24.05,5.21,14.8,Medium
74.73,19.82,68.64,6.28,49.56,High
60.12,50.76,34.75,5.55,56.42,Medium
102.37,45.35,35.38,6.35,42.4,High
40.67,39.82,53.15,7.66,69.76,Medium
74.31,12.59,0.0,6.59,38.38,Medium
77.18,20.29,32.7,8.78,39.3,Medium
44.45,40.97,39.75,6.94,49.81,High
24.79,27.56,0.0,5.95,44.98,Medium
112.93,57.38,62.79,6.18,48.02,High
41.12,50.78,39.83,7.25,59.38,High
55.85,44.97,83.49,7.43,76.83,High
87.62,5.33,29.52,7.06,55.62,Medium
66.7,26.05,70.42,5.05,88.65,Medium
69.52,41.08,19.78,7.47,82.82,Medium
52.68,35.89,30.39,6.69,34.33,Medium
107.9,29.65,49.63,7.1,65.3,High
96.01,0.0,0.0,7.99,31.27,Medium
95.51,14.07,11.28,7.61,71.74,Medium
92.24,29.97,26.34,7.1,55.43,High
0.0,66.21,22.81,6.39,28.88,Medium
106.82,28.75,0.0,6.11,11.83,Medium
22.77,25.45,34.84,5.34,68.93,Medium
68.17,9.19,39.83,7.27,70.48,Medium
58.9,28.45,31.79,7.74,49.74,Medium
42.73,0.0,61.94,6.81,71.16,Medium
9.95,38.12,24.02,7.83,28.46,Medium
125.73,10.91,0.0,6.2,57.31,Medium
59.64,0.0,4.67,5.49,92.65,Low
88.28,40.56,54.33,5.72,45.39,High
87.88,35.47,31.01,6.11,50.3,High
111.6,80.35,39.93,6.42,25.17,High
75.87,44.18,1.26,4.64,37.49,Medium
5.65,32.05,14.72,7.89,68.3,Medium
104.73,27.95,12.8,6.68,67.75,Medium
20.8,24.76,31.92,7.84,80.87,Medium
12.92,48.03,52.08,7.17,14.94,Medium
66.75,35.78,27.07,7.14,72.19,Medium
27.36,20.01,34.06,3.55,53.87,Medium
80.38,37.68,37.55,6.17,87.72,Medium
83.85,40.06,30.43,6.2,41.51,High
59.38,33.99,0.0,4.91,29.54,Low
101.89,31.53,50.81,6.6,50.92,High
40.28,26.49,44.84,7.05,78.91,Medium
85.81,31.95,19.5,5.44,29.69,Medium
51.94,5.03,16.81,7.27,75.44,Medium
47.71,67.07,1.59,7.55,29.39,Medium
32.24,21.16,2.9,5.84,60.02,Medium
58.56,39.86,59.11,6.35,52.94,High
68.93,56.12,11.61,7.32,86.22,Medium
85.94,0.0,51.47,5.77,54.86,Medium
86.03,21.69,26.01,5.26,30.18,Medium
62.96,75.22,21.41,5.18,44.76,Medium
31.32,41.28,49.49,6.58,46.15,High
77.24,6.77,24.21,6.35,39.63,Medium
81.6,0.0,28.49,6.36,30.09,Medium
45.37,10.1,21.29,3.67,55.26,Medium
9.69,58.48,17.36,5.36,84.34,Medium
78.97,13.63,31.38,5.91,43.38,Medium
67.66,28.04,45.29,7.04,71.07,Medium
55.18,40.36,0.0,6.43,42.01,Medium
66.39,8.45,30.4,6.45,44.19,Medium
5.54,47.26,18.54,6.21,76.66,Medium
29.22,42.32,3.03,7.83,54.82,Medium
84.53,4.93,1.07,4.67,56.19,Medium
47.44,30.58,27.28,6.26,27.08,Medium
44.05,25.63,55.26,6.22,29.62,Medium
80.68,23.62,9.31,5.1,53.96,Medium
68.28,49.73,41.81,6.14,49.84,High
55.51,31.1,22.82,5.31,60.6,Medium
54.29,41.65,55.83,5.66,38.4,Medium
8.78,21.51,47.92,5.99,73.32,Medium
81.83,38.39,41.61,7.57,23.57,Medium
95.86,26.65,18.68,6.93,11.01,Medium
47.48,37.68,36.74,6.16,71.67,Medium
57.04,27.7,46.23,5.91,37.62,Medium
79.84,42.16,36.0,5.59,48.43,Medium
127.32,27.67,27.28,7.15,34.73,Medium
27.63,16.61,47.76,6.88,30.81,Medium
56.22,49.21,0.0,5.97,32.93,Medium
58.58,41.54,6.31,7.95,60.48,Medium
19.37,0.05,24.62,4.54,40.08,Low
46.14,23.36,27.4,6.89,59.17,Medium
64.96,30.25,30.0,6.16,33.64,Medium
83.77,40.83,39.52,7.19,13.4,High
22.68,6.57,22.92,8.1,57.89,Low
12.03,33.53,38.33,7.41,22.74,Medium
106.47,45.58,46.09,6.62,24.79,High
38.91,27.13,5.71,5.74,11.55,Low
103.68,33.46,19.9,5.66,39.96,Medium
75.66,22.54,12.17,5.94,24.56,Medium
117.45,20.71,38.43,5.47,50.57,Medium
13.1,21.9,14.63,5.47,15.85,Low
98.61,24.43,51.84,7.79,18.54,Medium
52.56,9.67,13.79,6.9,13.05,Medium
86.27,24.32,48.23,5.55,52.54,High
84.4,13.93,15.75,5.41,61.67,Medium
55.33,20.75,50.89,6.54,41.07,High
70.59,1.86,0.0,5.64,40.69,Medium
135.11,31.8,51.21,4.89,40.59,Medium
118.21,0.0,23.01,8.0,44.95,Medium
48.8,23.89,31.64,6.11,29.2,Medium
44.06,16.8,14.79,7.84,33.93,Medium
92.6,34.3,0.0,6.41,53.56,Medium
42.65,0.0,18.67,5.61,28.16,Medium
46.63,0.0,58.18,6.65,65.26,Medium
32.19,51.17,31.46,6.85,51.92,Medium
58.57,11.85,47.08,5.72,82.27,Medium
94.42,57.69,22.4,5.25,38.35,Medium
98.74,56.42,22.77,6.17,22.61,High
79.36,7.45,26.87,8.11,49.14,Medium
37.95,43.52,36.52,7.46,55.95,Medium
88.58,88.35,14.97,7.25,46.12,High
114.41,26.41,29.75,6.13,30.51,Medium
88.97,4.94,41.06,6.86,86.51,Medium
38.72,14.44,4.11,6.25,89.2,Low
95.54,36.61,13.83,6.98,36.6,Medium
80.22,15.82,7.04,6.66,23.26,Medium
137.77,38.84,17.75,5.51,44.54,Medium
118.33,56.09,6.95,5.3,23.04,Medium
49.34,11.76,41.89,7.24,45.99,Medium
31.64,8.94,20.96,6.93,95.0,Medium
47.53,0.0,46.32,7.02,95.0,Medium
79.84,33.8,42.01,6.32,76.89,Medium
60.76,23.59,11.32,5.47,79.68,Low
0.0,16.79,24.81,6.14,15.75,Medium
52.67,35.48,26.41,8.27,58.27,Medium
35.76,7.2,23.01,5.31,55.87,Low
35.87,44.36,36.2,5.13,69.27,Medium
103.17,42.13,47.76,6.7,50.38,High
0.0,0.0,42.96,7.17,31.73,Medium
74.41,16.58,39.45,6.18,7.65,Medium
37.6,36.92,0.0,4.94,63.14,Low
103.72,30.19,41.88,6.52,53.71,High
94.16,54.69,40.24,7.04,38.47,High
52.85,3.48,38.74,5.79,57.36,Medium
95.83,7.88,34.32,6.21,52.99,Medium
27.99,53.08,38.44,7.46,64.73,Medium
61.38,45.71,40.9,5.37,34.15,Medium
54.27,0.0,4.88,7.79,52.16,Medium
52.61,43.91,14.12,5.63,30.21,Medium
66.68,20.04,33.89,7.14,33.13,Medium
75.9,23.65,40.12,7.03,58.18,High
82.54,51.18,36.29,5.89,17.47,Medium
32.35,14.45,46.45,5.87,66.52,Medium
46.33,23.31,19.34,7.78,47.53,Medium
1.18,10.53,51.58,7.87,13.26,Medium
39.12,72.83,36.14,5.38,48.94,Medium
36.86,58.09,57.42,7.18,62.28,High
92.04,47.63,35.23,7.63,35.87,Medium
50.97,11.08,31.53,7.15,32.59,Medium
84.74,23.73,0.0,5.63,47.13,Medium
76.27,45.25,8.04,4.51,48.05,Medium
44.4,20.51,17.16,6.94,62.49,Medium
60.09,35.84,37.02,5.05,80.22,Medium
10.13,46.21,19.56,7.05,16.49,Medium
6.25,21.93,0.0,7.99,46.23,Medium
73.91,6.81,0.0,7.33,62.18,Medium
65.31,35.27,52.67,6.64,51.27,High
84.32,3.57,43.78,6.25,36.07,Medium
0.0,44.75,58.82,7.47,75.02,Medium
70.84,27.22,5.8,5.95,27.98,Medium
49.48,27.32,35.65,8.94,47.41,Medium
62.61,24.54,1.94,7.32,89.38,Medium
79.14,17.29,30.88,5.29,50.74,Medium
54.75,48.43,35.21,5.56,51.25,Medium
40.12,54.7,56.18,6.09,68.33,High
70.44,20.58,18.45,7.25,23.29,Medium
61.44,32.8,48.83,5.84,20.89,Medium
50.94,46.62,25.89,7.74,32.85,Medium
59.08,0.0,53.05,5.61,50.27,Medium
60.69,37.27,55.55,5.91,53.19,Medium
62.32,39.88,23.27,6.17,27.24,Medium
85.3,18.88,18.72,5.1,49.81,Medium
41.73,12.11,0.0,6.91,37.37,Medium
58.92,76.36,53.66,8.02,28.63,Medium
109.8,42.27,34.06,5.8,31.79,Medium
29.81,21.04,34.5,6.8,66.51,Medium
79.33,57.74,32.23,7.13,70.12,Medium
50.87,46.19,40.38,5.96,29.74,Medium
49.96,56.01,29.36,5.45,22.36,Medium
105.24,39.97,39.41,6.89,88.36,Medium
43.07,8.98,1.02,5.76,69.77,Medium
